code,ig_display,loinc_display,loinc_status,overlap,verdict,files
2571-8,Triglyceride [Mass/volume] in Serum or Plasma,Triglyceride [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-CoreDataset.fsh; input/fsh/valuesets/VS-OccHealthCheck-Required.fsh
26446-5,Blasts/100 leukocytes in Blood,Blasts/Leukocytes in Blood,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
26450-7,Eosinophils/100 leukocytes in Blood by Manual count,Eosinophils/Leukocytes in Blood,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
26464-8,WBC [#/volume] in Blood,Leukocytes [#/volume] in Blood,ACTIVE,0.50,部分相符（建議人工判讀）,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
26478-8,Lymphocytes/100 leukocytes in Blood by Manual count,Lymphocytes/Leukocytes in Blood,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
26485-3,Monocytes/100 leukocytes in Blood by Manual count,Monocytes/Leukocytes in Blood,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
26498-6,Myelocytes/100 leukocytes in Blood,Myelocytes/Leukocytes in Blood,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
26505-8,Hypersegmented neutrophils/100 leukocytes in Blood,Segmented neutrophils/Leukocytes in Blood,ACTIVE,0.75,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
26508-2,Neutrophils/100 leukocytes in Blood by Manual count,Band form neutrophils/Leukocytes in Blood,ACTIVE,0.60,部分相符（建議人工判讀）,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
26511-6,Neutrophils.segmented/100 leukocytes in Blood,Neutrophils/Leukocytes in Blood,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
26515-7,Platelets [#/volume] in Blood by Automated count,Platelets [#/volume] in Blood,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
26524-9,Promyelocytes/100 leukocytes in Blood,Promyelocytes/Leukocytes in Blood,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
2725-0,p-Methylhippurate [Mass/volume] in Urine,Para methylhippurate [Mass/volume] in Urine,ACTIVE,0.67,部分相符（建議人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
2758-1,Phenol [Mass/volume] in Urine,Phenol [Mass/volume] in Urine,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
